canonical_match_id,golgg_match_id,team_a_name,team_b_name,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books
144703,80490,Vitality Bee,Joblife,team_b,2026-07-28T19:00:00+00:00,finished,0.36679823924378646,0.39952875229779844,0.08880623295744643,6.0,0.3705518695796952,0.40378407144673467,0.08923013448186153,6.0,0.3983113069739445,0.4337015821775143,0.08878608343698817,6.0
104263,79735,Kits Esports,3v Team,team_b,2026-07-12T22:00:00+00:00,finished,0.3911307363849663,0.4243471890530714,0.0874546502001486,3.0,0.3911307363849663,0.4243471890530714,0.0874546502001486,3.0,0.43044370703968,0.4670376922698904,0.08724968779296634,3.0
144679,80077,Arneb,RAYN Clocks,team_a,2026-07-24T08:00:00+00:00,finished,0.6592592592592593,0.7246376811594204,0.09916951636541294,1.0,0.6592592592592593,0.7246376811594204,0.09916951636541294,1.0,0.7068181818181818,0.7751937984496123,0.09673720680974096,1.0
144688,80394,Barca eSports,GIANTX iTero,team_a,2026-07-28T17:30:00+00:00,finished,0.6700591543025196,0.7310112392885012,0.09101935637209148,7.0,0.6693433780025371,0.7301975166702672,0.09096109193924705,7.0,0.7001366822716272,0.7645031364486251,0.0919851984744023,7.0
144687,80397,LUA Gaming,Team Heretics Academy,team_b,2026-07-29T15:00:00+00:00,finished,0.11188900610175312,0.1223636117712044,0.09327400729610588,5.0,0.10200210711033988,0.11139256224001985,0.0917847191027649,5.0,0.09899280028384105,0.10794742413739367,0.09028095160778768,5.0
144657,80573,Nongshim Redforce Challengers,Soopers Challengers,team_a,2026-07-29T05:00:00+00:00,finished,0.6229484824467231,0.6779738922596066,0.08838059908986168,4.0,0.6229484824467231,0.6779738922596066,0.08838059908986168,4.0,0.6065678134776173,0.6590127278981768,0.08649129965475888,4.0
144704,80491,Solary,Ici Japon Corp eSport,team_a,2026-07-28T20:00:00+00:00,finished,0.7629338810667264,0.8335799483884926,0.0924725052961459,7.0,0.7648070286660149,0.8355315487007486,0.0923355508882683,7.0,0.8066646096009372,0.8818564173832125,0.09333402690821384,7.0
103161,79691,T1,Furia Esports,team_a,2026-07-07T03:00:00+00:00,finished,0.9112478420609977,0.9852455833818676,0.08120146573480869,2.0,0.9154790408049363,0.9900990099009901,0.08150943770847663,2.0,0.9187110387364577,0.9900990099009901,0.07772155892059784,2.0
144701,80488,Esprit Shonen,Zyb,team_b,2026-07-28T17:00:00+00:00,finished,0.3869418127683125,0.42170195260847604,0.08985550862643242,7.0,0.384590032740708,0.4191139608900495,0.08980765102708739,7.0,0.37651748392677536,0.4101359439907107,0.08926519225904708,7.0
144700,80487,Skillcamp,Tln Pirates,team_a,2026-07-28T16:00:00+00:00,finished,0.32636373085905224,0.3559504179873186,0.09050052351209129,7.0,0.32166287451013,0.35027480880335904,0.08877473579620136,7.0,0.3225107030103779,0.35157529436456975,0.09000474029771656,7.0
66765,79517,Red Canids,Los Grandes ,team_b,2026-06-14T16:00:00+00:00,finished,0.5874408068783068,0.6396994412510949,0.08901982999957214,3.0,0.5824044489007724,0.6343575609092146,0.08929103938293115,3.0,0.5733394001812201,0.6240671128336134,0.08860678675044194,3.0
144705,80492,Tln Pirates,Zyb,team_b,2026-07-29T16:00:00+00:00,finished,0.7115022904275001,0.7733423778214169,0.08695765462190079,6.0,0.6970858288503162,0.7579827983171006,0.08759027331697118,6.0,0.5910861863188704,0.6420106666908668,0.08620838909870603,6.0
104264,79738,Polar Squad,LYON Academy,team_b,2026-07-12T22:00:00+00:00,finished,0.4397071830825909,0.47699722221620816,0.08458941634686375,3.0,0.43658230581932544,0.47369664709099263,0.08485339529593361,3.0,0.3391511220815311,0.3681581213166896,0.08507636458933694,3.0
26,78691,Movistar KOI Fenix,UCAM,team_b,2026-06-04T15:00:00+00:00,finished,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0
62564,79476,FENNEL,Uwinks,team_a,2026-06-13T11:00:00+00:00,finished,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0
