canonical_match_id,golgg_match_id,team_a_name,team_b_name,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books,date,team1_id,team2_id,team1_name,team2_name,best_of,n_games,y_team1,exp039_original_prob_team1,exp039_swapped_prob_team1,exp039_symmetric_prob_team1,exp039_calibrated_prob_team1,y_team_a,canonical_a_is_golgg_team1,exp039_prob_team_a
144703,80490,Vitality Bee,Joblife,team_b,2026-07-28T19:00:00+00:00,finished,0.36679823924378646,0.39952875229779844,0.08880623295744643,6.0,0.3705518695796952,0.40378407144673467,0.08923013448186153,6.0,0.3983113069739445,0.4337015821775143,0.08878608343698817,6.0,2026-07-28,2921,2920,Vitality.Bee,Joblife,1,1,0,0.3845532903103635,0.6723888510593818,0.3560822196254908,0.35766028114420967,0,True,0.35766028114420967
104263,79735,Kits Esports,3v Team,team_b,2026-07-12T22:00:00+00:00,finished,0.3911307363849663,0.4243471890530714,0.0874546502001486,3.0,0.3911307363849663,0.4243471890530714,0.0874546502001486,3.0,0.43044370703968,0.4670376922698904,0.08724968779296634,3.0,2026-07-12,3029,3096,3v Team,Kits Esports,3,2,0,0.8663313715654364,0.14379836749865899,0.8612665020333887,0.8935795357270778,0,True,0.8935795357270778
144679,80077,Arneb,RAYN Clocks,team_a,2026-07-24T08:00:00+00:00,finished,0.6592592592592593,0.7246376811594204,0.09916951636541294,1.0,0.6592592592592593,0.7246376811594204,0.09916951636541294,1.0,0.7068181818181818,0.7751937984496123,0.09673720680974096,1.0,2026-07-24,3086,3014,Arneb,RAYN Clocks,5,3,1,0.7062187474842305,0.30763683882809995,0.6992909543280653,0.736155714820076,1,True,0.736155714820076
144688,80394,Barca eSports,GIANTX iTero,team_a,2026-07-28T17:30:00+00:00,finished,0.6700591543025196,0.7310112392885012,0.09101935637209148,7.0,0.6693433780025371,0.7301975166702672,0.09096109193924705,7.0,0.7001366822716272,0.7645031364486251,0.0919851984744023,7.0,2026-07-28,2992,2990,GIANTX iTero,Barca eSports,3,3,0,0.3595017255951485,0.6783796135589429,0.34056105601810277,0.34023105207279275,1,False,0.6597689479272073
144687,80397,LUA Gaming,Team Heretics Academy,team_b,2026-07-29T15:00:00+00:00,finished,0.11188900610175312,0.1223636117712044,0.09327400729610588,5.0,0.10200210711033988,0.11139256224001985,0.0917847191027649,5.0,0.09899280028384105,0.10794742413739367,0.09028095160778768,5.0,2026-07-29,2994,2993,LUA Gaming,Team Heretics Academy,3,2,0,0.08114174245505644,0.9333273497197226,0.0739071963676669,0.05966342034489174,0,True,0.05966342034489174
144657,80573,Nongshim Redforce Challengers,Soopers Challengers,team_a,2026-07-29T05:00:00+00:00,finished,0.6229484824467231,0.6779738922596066,0.08838059908986168,4.0,0.6229484824467231,0.6779738922596066,0.08838059908986168,4.0,0.6065678134776173,0.6590127278981768,0.08649129965475888,4.0,2026-07-29,2830,2823,DN SOOPers Challengers,Nongshim Esports Academy,3,2,0,0.5791170166815511,0.4952560657497905,0.5419304754658804,0.5665535533246906,1,False,0.4334464466753094
144704,80491,Solary,Ici Japon Corp eSport,team_a,2026-07-28T20:00:00+00:00,finished,0.7629338810667264,0.8335799483884926,0.0924725052961459,7.0,0.7648070286660149,0.8355315487007486,0.0923355508882683,7.0,0.8066646096009372,0.8818564173832125,0.09333402690821384,7.0,2026-07-28,2922,2918,Ici Japon Corp. Esport,Solary,1,1,0,0.19421847924187177,0.8555523864485195,0.16933304639667612,0.15377808707337245,1,False,0.8462219129266275
103161,79691,T1,Furia Esports,team_a,2026-07-07T03:00:00+00:00,finished,0.9112478420609977,0.9852455833818676,0.08120146573480869,2.0,0.9154790408049363,0.9900990099009901,0.08150943770847663,2.0,0.9187110387364577,0.9900990099009901,0.07772155892059784,2.0,2026-07-06,2809,2889,T1,FURIA,5,3,1,0.862849387863263,0.16765718886402173,0.8475960994996207,0.881262141969308,1,True,0.881262141969308
144701,80488,Esprit Shonen,Zyb,team_b,2026-07-28T17:00:00+00:00,finished,0.3869418127683125,0.42170195260847604,0.08985550862643242,7.0,0.384590032740708,0.4191139608900495,0.08980765102708739,7.0,0.37651748392677536,0.4101359439907107,0.08926519225904708,7.0,2026-07-28,2924,2923,ZYB Esport,Esprit Shonen,1,1,1,0.6919672767649053,0.3573511262898621,0.6673080752375216,0.7026911799034392,0,False,0.2973088200965608
144700,80487,Skillcamp,Tln Pirates,team_a,2026-07-28T16:00:00+00:00,finished,0.32636373085905224,0.3559504179873186,0.09050052351209129,7.0,0.32166287451013,0.35027480880335904,0.08877473579620136,7.0,0.3225107030103779,0.35157529436456975,0.09000474029771656,7.0,2026-07-28,2925,2926,Skillcamp,TLN Pirates,1,1,1,0.3097591774472994,0.7354937113169827,0.28713273306515835,0.280667508448641,1,True,0.280667508448641
