alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.1,2.5,0.7396667201164383,0.2175556972477032,0.6264357639482474,0.6753774680603949,578,0.18825259515570936,108.81,0.33217993079584773
0.1,3.0,0.7396667201164383,0.22139439936965857,0.6347780622396133,0.6753774680603949,589,0.18524617996604414,109.11,0.33446519524617996
0.15,0.5,0.7428709653988106,0.22018720015851734,0.6462655660375438,0.6724738675958188,613,-0.03432300163132137,-21.04,0.7357259380097879
0.15,0.6,0.7428709653988106,0.21293504390167436,0.6169308083602039,0.6724738675958188,291,0.02195876288659794,6.390000000000001,0.7525773195876289
0.15,0.7,0.7428709653988106,0.20838162799001025,0.6018100718770404,0.6724738675958188,16,5.3825,86.12,0.9375
0.15,0.8,0.7428709653988106,0.20570483774407272,0.5944221847692253,0.6724738675958188,34,3.9302941176470596,133.63000000000002,0.7941176470588235
0.15,0.9,0.7428709653988106,0.20431991794370374,0.5914217443176378,0.6724738675958188,48,3.0208333333333335,145.0,0.7291666666666666
0.15,1.0,0.7428709653988106,0.2038170662204639,0.5909717950258481,0.6724738675958188,86,1.6308139534883723,140.25000000000003,0.5348837209302325
0.15,1.1,0.7428709653988106,0.20391108536270572,0.592018257418774,0.6724738675958188,170,0.779235294117647,132.47,0.37058823529411766
0.15,1.2,0.7428709653988106,0.20440403287300576,0.5939361711020751,0.6724738675958188,288,0.45614583333333336,131.37,0.3159722222222222
0.15,1.3,0.7428709653988106,0.20515860099698885,0.5963459688453584,0.6724738675958188,364,0.2966208791208792,107.97000000000003,0.2967032967032967
0.15,1.5,0.7428709653988106,0.20710069433509787,0.6017917033778509,0.6724738675958188,448,0.2519419642857143,112.87,0.3125
0.15,1.7,0.7428709653988106,0.20927475210463706,0.6073512627844663,0.6724738675958188,499,0.21462925851703404,107.1,0.3166332665330661
0.15,2.0,0.7428709653988106,0.21252267770164615,0.6151337767058193,0.6724738675958188,542,0.2025461254612546,109.78,0.32656826568265684
0.15,2.5,0.7428709653988106,0.2173338867455737,0.6260084881476218,0.6724738675958188,578,0.18430795847750867,106.53,0.3304498269896194
0.15,3.0,0.7428709653988106,0.22125825401649005,0.6345219395098262,0.6724738675958188,586,0.18745733788395905,109.85,0.33447098976109213
0.2,0.5,0.74604505952797,0.21811759834096486,0.6372351167670748,0.6724738675958188,597,-0.019614740368509208,-11.709999999999997,0.7286432160804021
0.2,0.6,0.74604505952797,0.2110124231002006,0.6101460238559776,0.6724738675958188,298,0.29251677852348995,87.17,0.7583892617449665
0.2,0.7,0.74604505952797,0.20665853886178168,0.5965715966609809,0.6724738675958188,51,2.771176470588235,141.32999999999998,0.803921568627451
0.2,0.8,0.74604505952797,0.2041900752490327,0.5902890647727799,0.6724738675958188,57,2.6531578947368426,151.23000000000002,0.7192982456140351
0.2,0.9,0.74604505952797,0.20300129921430715,0.5881022244058318,0.6724738675958188,75,1.9725333333333337,147.94000000000003,0.6133333333333333
0.2,1.0,0.74604505952797,0.20267410269895836,0.5882656299722387,0.6724738675958188,114,1.2535087719298246,142.9,0.47368421052631576
0.2,1.1,0.74604505952797,0.20292139358914463,0.5897839233644725,0.6724738675958188,184,0.6849999999999999,126.03999999999999,0.358695652173913
0.2,1.2,0.74604505952797,0.20354629487369905,0.5920711706653449,0.6724738675958188,292,0.43647260273972605,127.45,0.3150684931506849
0.2,1.3,0.74604505952797,0.20441374087830555,0.5947744963728401,0.6724738675958188,370,0.30470270270270267,112.73999999999998,0.3054054054054054
0.2,1.5,0.74604505952797,0.20653444181627417,0.6006493703046439,0.6724738675958188,460,0.24984782608695655,114.93,0.3173913043478261
0.2,1.7,0.74604505952797,0.20883922245170403,0.6064997317324038,0.6724738675958188,507,0.20889546351084812,105.91,0.3175542406311637
0.2,2.0,0.74604505952797,0.21222285539282523,0.6145664214354288,0.6724738675958188,539,0.2036549165120594,109.77000000000001,0.32653061224489793
0.2,2.5,0.74604505952797,0.21716631517904572,0.6257029152200233,0.6724738675958188,575,0.18645217391304345,107.20999999999998,0.33043478260869563
0.2,3.0,0.74604505952797,0.22116229085812616,0.634352509481417,0.6724738675958188,586,0.18709897610921503,109.64,0.33447098976109213
0.25,0.5,0.7490026135567809,0.21602705835115518,0.6295393052945928,0.6713124274099884,597,0.11557788944723618,69.0,0.7336683417085427
0.25,0.6,0.7490026135567809,0.20914770004187533,0.6044205920195237,0.6713124274099884,331,0.422416918429003,139.82,0.7341389728096677
0.25,0.7,0.7490026135567809,0.20503818766508172,0.5921893084127758,0.6713124274099884,85,1.868470588235294,158.82,0.7411764705882353
0.25,0.8,0.7490026135567809,0.20279963346283827,0.5868587930561245,0.6713124274099884,76,2.049473684210527,155.76000000000002,0.6578947368421053
0.25,0.9,0.7490026135567809,0.2018143310153454,0.5853677459301116,0.6713124274099884,100,1.4106,141.06,0.52
0.25,1.0,0.7490026135567809,0.20166194873603424,0.5860525353057406,0.6713124274099884,141,0.9431914893617022,132.99,0.425531914893617
0.25,1.1,0.7490026135567809,0.20205728063341083,0.5879697978054379,0.6713124274099884,203,0.6145812807881774,124.76000000000002,0.35467980295566504
0.25,1.2,0.7490026135567809,0.20280676952815918,0.5905678748116757,0.6713124274099884,302,0.4406953642384106,133.09,0.33112582781456956
0.25,1.3,0.7490026135567809,0.20377889770057964,0.5935171719147239,0.6713124274099884,375,0.2979466666666667,111.73000000000002,0.30666666666666664
0.25,1.5,0.7490026135567809,0.20606192344632104,0.5997496190845644,0.6713124274099884,463,0.2557667386609071,118.41999999999999,0.32181425485961124
0.25,1.7,0.7490026135567809,0.20848301349175627,0.6058405344740145,0.6713124274099884,504,0.2240674603174603,112.92999999999999,0.32341269841269843
0.25,2.0,0.7490026135567809,0.21198507878121065,0.6141403596399377,0.6713124274099884,534,0.2055805243445693,109.78,0.3258426966292135
0.25,2.5,0.7490026135567809,0.2170413190983278,0.6254888915743483,0.6713124274099884,574,0.18810104529616722,107.96999999999998,0.3310104529616725
0.25,3.0,0.7490026135567809,0.22109687542171352,0.634246830451504,0.6713124274099884,587,0.185076660988075,108.64000000000001,0.3339011925042589
0.3,0.5,0.751736774950422,0.21397123081028102,0.6230587084150816,0.6707317073170732,628,0.21441082802547773,134.65,0.7308917197452229
0.3,0.6,0.751736774950422,0.20738487230977054,0.5996418457520004,0.6707317073170732,363,0.40438016528925624,146.79000000000002,0.7052341597796143
0.3,0.7,0.751736774950422,0.20354937972362044,0.5885604824682424,0.6707317073170732,127,1.1966141732283464,151.97,0.6456692913385826
0.3,0.8,0.751736774950422,0.20154948106739135,0.5840393534013925,0.6707317073170732,99,1.4654545454545456,145.08,0.5656565656565656
0.3,0.9,0.751736774950422,0.20076553371789768,0.583136440217628,0.6707317073170732,124,1.0701612903225808,132.70000000000002,0.47580645161290325
0.3,1.0,0.751736774950422,0.2007806043316914,0.5842597399162288,0.6707317073170732,159,0.8199371069182391,130.37,0.41509433962264153
0.3,1.1,0.751736774950422,0.20131442142394404,0.5865110594206254,0.6707317073170732,221,0.5579185520361991,123.3,0.3574660633484163
0.3,1.2,0.751736774950422,0.20217835917892632,0.5893683306489657,0.6707317073170732,306,0.4632352941176471,141.75,0.3431372549019608
0.3,1.3,0.751736774950422,0.20324526895707262,0.592521953640341,0.6707317073170732,377,0.310079575596817,116.9,0.3129973474801061
0.3,1.5,0.751736774950422,0.20567285921631362,0.5990498859539808,0.6707317073170732,460,0.27767391304347827,127.73,0.33043478260869563
0.3,1.7,0.751736774950422,0.2081957099986744,0.6053382157042361,0.6707317073170732,501,0.23101796407185632,115.74000000000001,0.3253493013972056
0.3,2.0,0.751736774950422,0.21179967984133866,0.6138277984709223,0.6707317073170732,532,0.20558270676691728,109.36999999999999,0.325187969924812
0.3,2.5,0.751736774950422,0.21695095747660048,0.6253466324929752,0.6707317073170732,572,0.18746503496503494,107.22999999999999,0.3304195804195804
