Model,Matches,AUC,Brier,LogLoss,Accuracy
Market (odds),2334,0.733234122363646,0.2087995652163112,0.6051483492402756,0.6726649528706083
Fusion-v2,1725,0.759878182742282,0.19704642556611052,0.5766395375520409,0.6968115942028985
Fusion-v2-SymAug,1725,0.7524743276550863,0.1996984099834965,0.582078485882416,0.6805797101449276
Fusion-v2-ArchSym,1725,0.7530345012269168,0.2019610483907038,0.588563220699295,0.6788405797101449
