alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.0,0.5,0.7333959655015987,0.22592423715958304,0.6839980923758601,0.6713124274099884,687,-0.05720524017467248,-39.3,0.7234352256186317
0.0,0.6,0.7334199493734728,0.21867402073885786,0.6460083527585921,0.6713124274099884,391,-0.07278772378516624,-28.46,0.7212276214833759
0.0,0.7,0.7334199493734728,0.21386908040102545,0.6247603401451985,0.6713124274099884,1,0.32000000000000006,0.32000000000000006,1.0
0.0,0.8,0.7334199493734728,0.21080626360992488,0.6128999264660895,0.6713124274099884,0,0.0,0.0,0.0
0.0,0.9,0.7334199493734728,0.20898064815694278,0.6065448458680686,0.6713124274099884,0,0.0,0.0,0.0
0.0,1.0,0.733421319880437,0.20803081413646868,0.6035231111826957,0.6713124274099884,0,0.0,0.0,0.0
0.0,1.1,0.7334206346269548,0.2076981554738546,0.6025613924559247,0.6713124274099884,89,0.4805617977528091,42.77000000000001,0.19101123595505617
0.0,1.2,0.7334192641199906,0.20779757306585261,0.602886140863344,0.6713124274099884,244,0.42954918032786893,104.81000000000002,0.27049180327868855
0.0,1.3,0.733421319880437,0.208196480095912,0.6040142860459399,0.6713124274099884,341,0.25815249266862167,88.02999999999999,0.2668621700879765
0.0,1.5,0.7334206346269548,0.2095393526079927,0.6075564172260722,0.6713124274099884,434,0.22608294930875575,98.11999999999999,0.29493087557603687
0.0,1.7,0.7334220051339191,0.2112450098332917,0.6118005800174677,0.6713124274099884,482,0.20441908713692947,98.53,0.3049792531120332
0.0,2.0,0.7334206346269548,0.21397685583137735,0.6182700648839754,0.6713124274099884,539,0.20630797773654913,111.19999999999999,0.32653061224489793
0.0,2.5,0.7334213198804369,0.2182493470749034,0.6278974299789017,0.6713124274099884,570,0.18928070175438594,107.88999999999999,0.3298245614035088
0.0,3.0,0.7334206346269548,0.22186143592542706,0.6357362106978502,0.6713124274099884,589,0.18526315789473685,109.12,0.33446519524617996
0.05,0.5,0.7370600158704707,0.22377422116940002,0.6679984056076144,0.6742160278745645,681,-0.05437591776798825,-37.03,0.7254038179148311
0.05,0.6,0.7370600158704707,0.2164605100193228,0.6333309082693529,0.6742160278745645,362,-0.008977900552486187,-3.25,0.7651933701657458
0.05,0.7,0.7370600158704707,0.21167737351297425,0.6144822596514338,0.6742160278745645,3,0.34666666666666673,1.0400000000000003,1.0
0.05,0.8,0.7370600158704707,0.20869196770287016,0.6043916582359384,0.6742160278745645,0,0.0,0.0,0.0
0.05,0.9,0.7370600158704707,0.2069758782488027,0.5993804611437384,0.6742160278745645,6,8.233333333333333,49.4,1.0
0.05,1.0,0.7370600158704707,0.20615074181596918,0.5974028836560559,0.6742160278745645,29,3.735172413793104,108.32000000000002,0.6551724137931034
0.05,1.1,0.7370600158704707,0.20594680974488813,0.5972680347850093,0.6742160278745645,137,0.8675182481751825,118.85000000000001,0.3284671532846715
0.05,1.2,0.7370600158704707,0.20617220553727747,0.5982583294684065,0.6742160278745645,276,0.3896739130434783,107.55000000000001,0.27898550724637683
0.05,1.3,0.7370600158704707,0.20669056217768988,0.5999298349352091,0.6742160278745645,364,0.2559340659340659,93.16,0.2774725274725275
0.05,1.5,0.7370600158704707,0.20824656351361237,0.6042967439302297,0.6742160278745645,444,0.23934684684684687,106.27000000000001,0.30405405405405406
0.05,1.7,0.7370600158704707,0.21012981431352012,0.6091283849847554,0.6742160278745645,492,0.20888211382113822,102.77000000000001,0.31097560975609756
0.05,2.0,0.7370600158704707,0.213070414404359,0.6162065881367547,0.6742160278745645,544,0.21643382352941176,117.74,0.3327205882352941
0.05,2.5,0.7370600158704707,0.21758044837839607,0.6264474870309253,0.6742160278745645,579,0.19412780656303974,112.4,0.33506044905008636
0.05,3.0,0.7370600158704707,0.22134446894261406,0.6346449986871624,0.6742160278745645,590,0.18698305084745762,110.32,0.33559322033898303
0.1,0.5,0.7406452620888995,0.22150199823169,0.6545838725361859,0.6753774680603949,664,-0.04719879518072289,-31.34,0.7289156626506024
0.1,0.6,0.7406452620888995,0.21419326991098894,0.6228418913190409,0.6753774680603949,375,0.005093333333333322,1.9099999999999957,0.768
0.1,0.7,0.7406452620888995,0.20949893458985336,0.6060436921782977,0.6753774680603949,6,0.1433333333333334,0.8600000000000003,0.8333333333333334
0.1,0.8,0.7406452620888995,0.2066472640713779,0.5974504359615963,0.6753774680603949,14,6.985714285714286,97.8,1.0
0.1,0.9,0.7406452620888995,0.20508320933777716,0.5935658313570676,0.6753774680603949,35,3.806285714285715,133.22000000000003,0.7714285714285715
0.1,1.0,0.7406452620888995,0.20441227368691875,0.5924565448831716,0.6753774680603949,75,1.6460000000000001,123.45,0.48
0.1,1.1,0.7406452620888995,0.20435588718601977,0.593004540032119,0.6753774680603949,177,0.6805084745762712,120.44999999999999,0.3220338983050847
0.1,1.2,0.7406452620888995,0.20471793874654703,0.5945412177871462,0.6753774680603949,297,0.393939393939394,117.00000000000001,0.2962962962962963
0.1,1.3,0.7406452620888995,0.2053605109828176,0.5966565707960629,0.6753774680603949,378,0.27071428571428574,102.33000000000001,0.291005291005291
0.1,1.5,0.7406452620888995,0.2071280834282398,0.6016932632027698,0.6753774680603949,457,0.24975929978118167,114.14000000000001,0.3150984682713348
0.1,1.7,0.7406452620888995,0.20917974086411323,0.6069990316525994,0.6753774680603949,504,0.2172222222222222,109.47999999999999,0.3194444444444444
0.1,2.0,0.7406452620888995,0.21231086333089033,0.614565912947226,0.6753774680603949,552,0.20217391304347826,111.6,0.32971014492753625
