canonical_match_id,golgg_match_id,result_source_match_id,mapping_confidence,mapped_by,team_a_name,team_b_name,league,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_open_earliest_at,market_open_latest_at,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_mid_earliest_at,market_mid_latest_at,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books,market_close_earliest_at,market_close_latest_at,date,feature_cutoff_date,team1_id,team2_id,team1_name,team2_name,best_of,n_games,expected_games,imputed_rating_games,game_coverage_consistent,source_outcome_complete,outcome_source,y_team1,team1_history_matches,team2_history_matches,all_players_seen_before,historical_feature_proxy_eligible,exp039_original_prob_team1,exp039_swapped_prob_team1,exp039_symmetric_prob_team1,exp039_calibrated_prob_team1,exp039_parity_v2_prob_team1,mapping_unique,mapping_source_consistent,identity_resolved,canonical_a_is_golgg_team1,mapping_date_gap_days,mapping_date_eligible,market_quotes_strictly_prestart,source_outcome_resolved,y_team_a,source_y_team_a,canonical_outcome_consistent,canonical_outcome_conflict,mapping_eligible,historical_proxy_eligible,exp039_symmetric_prob_team_a,exp039_legacy_prob_team_a,exp039_parity_v2_prob_team_a,exp039_prob_team_a,exclusion_reasons
85554,79574,79574,0.94,auto-fuzzy,Team Liquid,T1,MSI,team_b,2026-06-29T03:00:00+00:00,finished,0.08146964856230032,0.08695652173913043,0.06734867860187554,1.0,2026-06-27T22:55:24+00:00,2026-06-27T22:55:24+00:00,0.08146964856230032,0.08695652173913043,0.06734867860187554,1.0,2026-06-28T00:55:24+00:00,2026-06-28T00:55:24+00:00,0.08146964856230032,0.08695652173913043,0.06734867860187554,1.0,2026-06-28T02:55:24+00:00,2026-06-28T02:55:24+00:00,2026-07-01,2026-06-30,2809,2813,T1,Team Liquid,5,1,3.0,2,True,True,golgg_winner_name,1.0,20,20,True,True,0.848242581962206,0.18744569622431018,0.8303984428689479,0.8654683621088043,0.8557057589206363,True,True,True,False,-2,False,True,True,0,0.0,True,False,False,False,0.16960155713105207,0.1345316378911957,0.14429424107936373,0.14429424107936373,mapping_date_gap
63448,79494,79494,1.0,auto-fuzzy,Team Liquid,LYON,Riot LoL / LCS,team_b,2026-06-14T20:00:00+00:00,finished,0.42105263157894735,0.45454545454545453,0.07954545454545459,1.0,2026-06-14T04:55:07+00:00,2026-06-14T04:55:07+00:00,0.4623655913978494,0.5,0.08139534883720945,1.0,2026-06-14T10:55:11+00:00,2026-06-14T10:55:11+00:00,0.4623655913978494,0.5,0.08139534883720945,1.0,2026-06-14T18:55:35+00:00,2026-06-14T18:55:35+00:00,2026-06-14,2026-06-13,2813,2954,Team Liquid,LYON,5,3,3.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.5196881211038036,0.5366348815020782,0.4915266198008627,0.510282822655731,0.49050768179980087,True,True,True,True,0,True,True,True,0,0.0,True,False,True,True,0.4915266198008627,0.510282822655731,0.49050768179980087,0.49050768179980087,
85789,79539,79539,1.0,auto-fuzzy,Team Liquid,Deep Cross Gaming,MSI,team_a,2026-06-29T08:00:00+00:00,finished,0.7846715328467153,0.8474576271186441,0.08001576665352794,1.0,2026-06-28T08:55:01+00:00,2026-06-28T08:55:01+00:00,0.8405797101449275,0.9090909090909091,0.08150470219435735,1.0,2026-06-28T18:55:01+00:00,2026-06-28T18:55:01+00:00,0.8333333333333334,0.9009009009009008,0.08108108108108092,1.0,2026-06-29T04:55:01+00:00,2026-06-29T04:55:01+00:00,2026-06-29,2026-06-28,2813,2883,Team Liquid,Deep Cross Gaming,5,3,3.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.5795685776207472,0.4744730928972985,0.5525477423617244,0.5783213646016829,0.5588132130570355,True,True,True,True,0,True,True,True,1,1.0,True,False,True,True,0.5525477423617244,0.5783213646016829,0.5588132130570355,0.5588132130570355,
104275,79644,79644,1.0,auto-fuzzy,Malvinas,Golden Lions,LRS,team_a,2026-07-08T23:00:00+00:00,finished,0.2799081968475144,0.30492898913951544,0.08983418490410544,2.0,2026-07-06T14:55:09+00:00,2026-07-08T10:55:03+00:00,0.29781386891478634,0.3237907620085506,0.08755009036675943,2.0,2026-07-07T16:55:04+00:00,2026-07-08T14:55:03+00:00,0.29100513069122935,0.3169580068314245,0.08926239614440157,2.0,2026-07-08T18:55:04+00:00,2026-07-08T18:55:05+00:00,2026-07-08,2026-07-07,3037,3038,Golden Lions,Malvinas Gaming,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,False,False,0.7809835471876413,0.26430327967633216,0.7583401337556546,0.7961382469127772,0.7826860214465814,True,True,True,False,0,True,True,True,1,1.0,True,False,True,False,0.24165986624434543,0.20386175308722276,0.2173139785534186,0.2173139785534186,historical_feature_proxy_ineligible
76,78905,78905,0.97,auto-fuzzy,Fluxo W7M,LOS,CBLOL,team_b,2026-05-31T16:00:00+00:00,finished,0.3357142857142857,0.36774628879892035,0.09525951631214791,2.0,2026-05-30T01:02:38+00:00,2026-05-30T15:26:03+00:00,0.3357142857142857,0.36774628879892035,0.09525951631214791,2.0,2026-05-30T07:11:59+00:00,2026-05-30T15:26:03+00:00,0.3357142857142857,0.36774628879892035,0.09525951631214791,2.0,2026-05-30T15:24:24+00:00,2026-05-30T15:26:03+00:00,2026-05-30,2026-05-29,2895,2888,Los Grandes,Fluxo W7M,5,5,5.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.6958645265096914,0.3592743053373653,0.6682951105861631,0.7037330812171098,0.6867131019608312,True,True,False,,1,True,True,True,0,0.0,False,False,False,False,0.3317048894138369,0.29626691878289024,0.31328689803916876,0.31328689803916876,identity_unresolved
60,79017,79017,1.0,auto-fuzzy,Keyd Stars Academy,KaBuM! Ilha das Lendas,Circuito Desafiante,team_a,2026-06-01T20:00:00+00:00,finished,0.45652173913043476,0.5,0.09523809523809534,1.0,2026-05-29T14:53:08+00:00,2026-05-29T14:53:08+00:00,0.46195652173913043,0.5050505050505051,0.09328579916815216,1.0,2026-05-30T15:24:24+00:00,2026-05-30T15:24:24+00:00,0.5231607629427794,0.5714285714285714,0.09226190476190466,1.0,2026-05-31T18:12:44+00:00,2026-05-31T18:12:44+00:00,2026-06-01,2026-05-31,3058,3062,KaBuM! Ilha das Lendas,Vivo Keyd Stars Academy,5,5,5.0,0,True,True,golgg_winner_name,0.0,20,18,True,True,0.5618907930750572,0.5158944990162019,0.5229981470294276,0.5454894301599545,0.5257597376196541,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.4770018529705724,0.45451056984004545,0.4742402623803459,0.4742402623803459,
104265,79729,79729,1.0,auto-fuzzy,NCG Esports,Zeu5 Esports ,LRN,team_b,2026-07-12T19:00:00+00:00,finished,0.19812354838119428,0.21559937449688682,0.08797377947998752,3.0,2026-07-06T14:55:08+00:00,2026-07-11T10:55:30+00:00,0.19812354838119428,0.21559937449688682,0.08797377947998752,3.0,2026-07-08T10:55:05+00:00,2026-07-12T00:55:28+00:00,0.19812354838119428,0.21559937449688682,0.08797377947998752,3.0,2026-07-12T12:55:01+00:00,2026-07-12T12:55:29+00:00,2026-07-12,2026-07-11,3035,3032,Zeu5 Esports,NCG Esports,3,2,2.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.7910763511143426,0.2305750174026042,0.7802506668558692,0.8177134913714115,0.8053146354288276,True,True,True,False,0,True,True,True,0,0.0,True,False,True,True,0.2197493331441308,0.18228650862858853,0.19468536457117236,0.19468536457117236,
100728,79709,79709,1.0,auto-fuzzy,Zeu5 Esports ,Fuego,LRN,team_a,2026-07-05T19:00:00+00:00,finished,0.2887705139876485,0.31432748538011696,0.08746181373832596,2.0,2026-07-05T10:55:03+00:00,2026-07-05T12:55:24+00:00,0.23841654117919608,0.258792965627498,0.0861433929779255,2.0,2026-07-05T14:55:02+00:00,2026-07-05T14:55:20+00:00,0.22986614365179617,0.24977420660873897,0.08696069953293695,2.0,2026-07-05T18:55:02+00:00,2026-07-05T18:55:20+00:00,2026-07-05,2026-07-04,3028,3035,Fuego,Zeu5 Esports,3,2,3.0,1,True,True,golgg_winner_name,0.0,20,20,True,True,0.8039731830703888,0.2571452605375897,0.7734139612663995,0.811024591290877,0.7982900814566858,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.2265860387336005,0.188975408709123,0.20170991854331422,0.20170991854331422,
548,79245,79245,1.0,auto-fuzzy,Ruddy eSports,Verdant,Riot LoL / NLC,team_b,2026-06-05T16:00:00+00:00,finished,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0,2026-06-05T12:55:02+00:00,2026-06-05T12:55:02+00:00,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0,2026-06-05T12:55:02+00:00,2026-06-05T12:55:02+00:00,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0,2026-06-05T14:55:02+00:00,2026-06-05T14:55:02+00:00,2026-06-05,2026-06-04,2879,2878,Verdant,Ruddy Corporation,5,3,3.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.8683590188584738,0.14528505128991173,0.861536983784281,0.8938210289154668,0.8858254684400524,True,True,False,,0,True,True,True,0,0.0,False,False,False,False,0.138463016215719,0.10617897108453322,0.11417453155994761,0.11417453155994761,identity_unresolved
104267,79726,79726,1.0,auto-fuzzy,Kits Esports,Zeu5 Esports ,LRN,team_b,2026-07-11T22:00:00+00:00,finished,0.18525244214204198,0.20180088947538022,0.08957530985849622,3.0,2026-07-06T14:55:08+00:00,2026-07-11T10:55:30+00:00,0.1890637595126814,0.20569952495296306,0.08851915777259589,3.0,2026-07-08T02:55:07+00:00,2026-07-11T16:55:28+00:00,0.20125151379963965,0.219252465865395,0.08912812022380796,3.0,2026-07-11T20:55:02+00:00,2026-07-11T20:55:27+00:00,2026-07-11,2026-07-10,3035,3096,Zeu5 Esports,Kits Esports,3,1,2.0,1,True,True,golgg_winner_name,1.0,20,4,True,True,0.9172446049146581,0.09324886800916826,0.9119978684527449,0.9371916090704098,0.9321959675132157,True,True,True,False,0,True,True,True,0,0.0,True,False,True,True,0.08800213154725511,0.06280839092959023,0.06780403248678435,0.06780403248678435,
