canonical_match_id,golgg_match_id,result_source_match_id,mapping_confidence,mapped_by,team_a_name,team_b_name,league,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_open_earliest_at,market_open_latest_at,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_mid_earliest_at,market_mid_latest_at,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books,market_close_earliest_at,market_close_latest_at
26,78691,78691,1.0,auto-fuzzy,Movistar KOI Fenix,UCAM,LES,team_b,2026-06-04T15:00:00+00:00,finished,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0,2026-05-28T23:20:25+00:00,2026-05-29T14:54:47+00:00,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0,2026-05-30T13:23:04+00:00,2026-05-31T03:44:56+00:00,0.5920206213539546,0.6441631504922644,0.08817702192549064,3.0,2026-05-31T18:14:32+00:00,2026-06-02T02:55:06+00:00
62681,79458,79458,1.0,auto-fuzzy,G2 Nord,Solary,Riot LoL / EMEA Masters,team_b,2026-06-13T15:00:00+00:00,finished,0.18739635157545603,0.2040816326530612,0.08903738486545065,1.0,2026-06-13T00:55:07+00:00,2026-06-13T00:55:07+00:00,0.18739635157545603,0.2040816326530612,0.08903738486545065,1.0,2026-06-13T04:55:08+00:00,2026-06-13T04:55:08+00:00,0.1666666666666667,0.1801801801801802,0.08108108108108092,1.0,2026-06-13T12:55:08+00:00,2026-06-13T12:55:08+00:00
111815,79825,79825,1.0,auto-fuzzy,E WIE EINFACH,Unicorns Of Love Sexy Edition,Prime League,team_b,2026-07-13T15:00:00+00:00,finished,0.556837376460018,0.6060606060606061,0.08841536026002055,3.0,2026-07-11T16:55:28+00:00,2026-07-11T20:56:02+00:00,0.556837376460018,0.6060606060606061,0.08841536026002055,3.0,2026-07-12T02:55:28+00:00,2026-07-12T04:56:03+00:00,0.556837376460018,0.6060606060606061,0.08841536026002055,3.0,2026-07-12T12:55:01+00:00,2026-07-12T12:56:03+00:00
116105,80809,80809,1.0,auto-fuzzy,Kaufland Hangry Knights,Orange Gaming,Riot LoL / Prime League,team_b,2026-08-05T17:00:00+00:00,finished,0.5522394175677873,0.6004445264580627,0.08745612596966224,5.0,2026-07-31T22:55:01+00:00,2026-08-04T20:56:18+00:00,0.5552159606314053,0.6038058709958778,0.08766090485091174,5.0,2026-08-03T00:55:13+00:00,2026-08-05T06:56:19+00:00,0.5327812603644453,0.5796956375389616,0.08795454867495245,5.0,2026-08-05T10:55:13+00:00,2026-08-05T16:56:21+00:00
111816,79826,79826,1.0,auto-fuzzy,Hangry Knights,Eintracht Frankfurt,Prime League,team_a,2026-07-13T16:00:00+00:00,finished,0.6803438299766329,0.7380174291938997,0.08481391915663561,2.0,2026-07-11T16:55:28+00:00,2026-07-11T20:55:02+00:00,0.6803438299766329,0.7380174291938997,0.08481391915663561,2.0,2026-07-12T02:55:28+00:00,2026-07-12T04:55:02+00:00,0.6803438299766329,0.7380174291938997,0.08481391915663561,2.0,2026-07-12T12:55:01+00:00,2026-07-12T12:55:29+00:00
85788,79534,79534,1.0,auto-fuzzy,T1,Karmine Corp,MSI,team_a,2026-06-29T03:00:00+00:00,finished,0.8396244214278547,0.9133456410020461,0.08787441829155958,5.0,2026-06-28T08:55:01+00:00,2026-06-28T22:55:24+00:00,0.8290873774359888,0.9011064846495552,0.08699493248358241,5.0,2026-06-28T12:55:11+00:00,2026-06-29T00:55:24+00:00,0.8422958896710491,0.9158867269130495,0.08765259721577187,5.0,2026-06-28T16:55:11+00:00,2026-06-29T02:55:24+00:00
62564,79476,79476,1.0,auto-fuzzy,FENNEL,Uwinks,LJL,team_a,2026-06-13T11:00:00+00:00,finished,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0,2026-06-12T20:55:03+00:00,2026-06-12T20:55:03+00:00,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0,2026-06-13T02:55:05+00:00,2026-06-13T02:55:05+00:00,0.8900862068965517,0.9803921568627451,0.10145753216540854,1.0,2026-06-13T08:55:07+00:00,2026-06-13T08:55:07+00:00
94,79033,79033,0.97,auto-fuzzy,Eintracht Spandau,G2 Nord,Prime League,team_b,2026-05-31T22:02:00+00:00,finished,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0,2026-05-30T09:16:46+00:00,2026-05-30T09:16:46+00:00,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0,2026-05-30T09:16:46+00:00,2026-05-30T09:16:46+00:00,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0,2026-05-30T09:16:46+00:00,2026-05-30T09:16:46+00:00
86359,79551,79551,1.0,auto-fuzzy,Hangry Knights,Eintracht Spandau,Prime League,team_a,2026-06-30T18:00:00+00:00,finished,0.3680203045685279,0.4016064257028112,0.09126159811660428,1.0,2026-06-29T02:55:22+00:00,2026-06-29T02:55:22+00:00,0.36272040302267,0.3952569169960475,0.08970136144049201,1.0,2026-06-29T16:55:21+00:00,2026-06-29T16:55:21+00:00,0.34900990099009904,0.3802281368821293,0.0894479950381577,1.0,2026-06-30T02:55:22+00:00,2026-06-30T02:55:22+00:00
62962,79453,79453,1.0,auto-fuzzy,Karmine Corp Blue,UCAM Esports Club,EMEA Masters,team_b,2026-06-13T15:00:00+00:00,finished,0.7142857142857143,0.7692307692307692,0.07692307692307687,1.0,2026-06-13T04:55:08+00:00,2026-06-13T04:55:08+00:00,0.7142857142857143,0.7692307692307692,0.07692307692307687,1.0,2026-06-13T06:55:08+00:00,2026-06-13T06:55:08+00:00,0.7142857142857143,0.7692307692307692,0.07692307692307687,1.0,2026-06-13T12:55:08+00:00,2026-06-13T12:55:08+00:00
