match_id,start_time_normalized,month,y,market_prob,exp039_prob,hybrid_prob,market_loss,hybrid_loss,exp039_loss,diff_market_minus_hybrid,diff_market_minus_exp039
144703,2026-07-28T19:00:00+00:00,2026-07,0,0.3705518695796952,0.3576602811442096,0.35452967228873705,0.4629118269541117,0.4377760376663841,0.44263795815017565,0.025135789287727583,0.020273868803936057
104263,2026-07-12T22:00:00+00:00,2026-07,0,0.3911307363849663,0.8935795357270778,0.5813492664304585,0.4961517081849126,0.8707182781069289,2.240357387176163,-0.3745665699220163,-1.7442056789912503
144679,2026-07-24T08:00:00+00:00,2026-07,1,0.6592592592592593,0.736155714820076,0.7025309193906809,0.4166384087062895,0.35306586537527873,0.3063136135818195,0.06357254333101076,0.11032479512446997
144688,2026-07-28T17:30:00+00:00,2026-07,1,0.6693433780025371,0.6597689479272073,0.6786368292664223,0.40145807997532845,0.3876691556814448,0.4158655841517591,0.013788924293883675,-0.014407504176430663
144687,2026-07-29T15:00:00+00:00,2026-07,0,0.1020021071103398,0.0596634203448917,0.07710289066426797,0.10758755713073029,0.08023752486879761,0.06151740434462975,0.02735003226193268,0.046070152786100535
144657,2026-07-29T05:00:00+00:00,2026-07,1,0.6229484824467231,0.4334464466753094,0.5508960204316316,0.473291456315803,0.5962091982877142,0.8359870274740521,-0.12291774197191124,-0.3626955711582491
144704,2026-07-28T20:00:00+00:00,2026-07,1,0.7648070286660149,0.8462219129266275,0.8100020800487535,0.26813172708579586,0.21071846335752573,0.16697364534884387,0.05741326372827013,0.10115808173695198
103161,2026-07-07T03:00:00+00:00,2026-07,1,0.9154790408049364,0.881262141969308,0.9186467765021622,0.08830780884352382,0.08485358687355143,0.12640014682937556,0.0034542219699723875,-0.03809233798585174
144701,2026-07-28T17:00:00+00:00,2026-07,0,0.384590032740708,0.2973088200965608,0.3390300802669277,0.48546661983391604,0.41404694737762626,0.3528377725869094,0.07141967245628977,0.13262884724700663
144700,2026-07-28T16:00:00+00:00,2026-07,1,0.32166287451013,0.280667508448641,0.29157330667734427,1.1342512554684314,1.2324638239247792,1.270584554189231,-0.09821256845634774,-0.1363332987207997
66765,2026-06-14T16:00:00+00:00,2026-06,0,0.5824044489007724,0.5610584223376825,0.5802012864787348,0.8732418959684751,0.8679799361041943,0.8233889552588206,0.005261959864280796,0.049852940709654514
144705,2026-07-29T16:00:00+00:00,2026-07,0,0.6970858288503162,0.6538422777458012,0.6942195010023029,1.1943057771318568,1.1848877579663222,1.0608607631247144,0.009418019165534641,0.13344501400714237
104264,2026-07-12T22:00:00+00:00,2026-07,0,0.4365823058193254,0.3518512750523582,0.3950283123897079,0.5737340179615403,0.5025736193846854,0.4336350951560378,0.07116039857685497,0.1400989228055025
26,2026-06-04T15:00:00+00:00,2026-06,0,0.5920206213539546,0.5645962249875032,0.5879858459002287,0.8965386483894947,0.8866975756116214,0.8314814600022415,0.009841072777873272,0.06505718838725316
62564,2026-06-13T11:00:00+00:00,2026-06,1,0.8900862068965517,0.8680248604241226,0.8982082062467698,0.11643695926522252,0.10735338204561969,0.14153492369031775,0.009083577219602831,-0.025097964425095237
76,2026-05-31T16:00:00+00:00,2026-05,0,0.3357142857142857,0.2962713278360535,0.3068489280484707,0.40904292945604825,0.366507306506083,0.3513624059712075,0.04253562294996527,0.05768052348484076
60,2026-06-01T20:00:00+00:00,2026-06,1,0.4619565217391304,0.4544945006771778,0.4553939962428658,0.7722845011186693,0.7865923089201521,0.7885694651579866,-0.014307807801482775,-0.01628496403931734
144664,2026-07-27T09:00:00+00:00,2026-07,1,0.4175673225378054,0.8680410916706403,0.591075840104446,0.8733094961033089,0.5258109447591697,0.14151622480794118,0.3474985513441392,0.7317932712953676
144683,2026-07-27T22:00:00+00:00,2026-07,1,0.7445807871787103,0.8105897640576875,0.7850625141889973,0.2949339207521788,0.2419919284609486,0.20999319247968912,0.05294199229123017,0.08494072827248966
144666,2026-07-27T07:30:00+00:00,2026-07,0,0.6561562936972618,0.0845349675430811,0.4434546745259957,1.0675680669966066,0.5860066641905561,0.08832311061950081,0.4815614028060504,0.9792449563771057
144690,2026-07-29T17:30:00+00:00,2026-07,1,0.9142942801098718,0.9488655060658796,0.9354335575223194,0.08960278986340245,0.06674515928325814,0.052488212158698457,0.02285763058014431,0.03711457770470399
144682,2026-07-27T21:00:00+00:00,2026-07,1,0.6836072618850335,0.6987548038894271,0.7037314339630673,0.3803717047938576,0.35135848145624793,0.35845537956053636,0.029013223337609695,0.021916325233321265
144691,2026-07-29T15:00:00+00:00,2026-07,1,0.8977947788497289,0.9182708921356024,0.9173406612251642,0.10781376814494568,0.08627638037474228,0.08526284241964778,0.021537387770203406,0.022550925725297905
144665,2026-07-27T08:15:00+00:00,2026-07,0,0.3376607129693836,0.060981086911046,0.23058935745140816,0.4119773361645732,0.2621304564895373,0.06291965824194085,0.1498468796750359,0.34905767792263237
144667,2026-07-27T06:00:00+00:00,2026-07,0,0.6015833605047874,0.1496104067681096,0.4268294054214866,0.9202569883426244,0.5565718848002211,0.1620606895270548,0.36368510354240324,0.7581962988155696
144663,2026-07-27T09:45:00+00:00,2026-07,0,0.5786301277290934,0.834193435848696,0.6851018050697053,0.8642442745416314,1.15550588309135,1.7969334462847573,-0.2912616085497186,-0.9326891717431258
104267,2026-07-11T22:00:00+00:00,2026-07,0,0.1931417371446175,0.0749306518423319,0.14003992250801098,0.21460726076553446,0.15086931233303882,0.07788657329863266,0.06373794843249564,0.1367206874669018
144675,2026-07-27T23:00:00+00:00,2026-07,1,0.8899563175729209,0.9011298410535886,0.9076831438108512,0.11658289883922233,0.09685992184248517,0.10410592403868439,0.019722976996737168,0.012476974800537943
144685,2026-07-28T00:00:00+00:00,2026-07,1,0.7822467340426669,0.7890745786745759,0.8020341681947496,0.24558507152314357,0.22060406828903412,0.23689443956833298,0.024981003234109456,0.008690631954810596
144662,2026-07-27T10:30:00+00:00,2026-07,1,0.6623392870306163,0.7845273580827516,0.7224720629206565,0.4119773361645734,0.3250765269809925,0.24267383414400223,0.0869008091835809,0.16930350202057115
100727,2026-07-05T22:00:00+00:00,2026-07,1,0.7351014489333879,0.6624325614963312,0.7224770857811644,0.30774676353426766,0.32506957468026615,0.41183652027091927,-0.017322811145998485,-0.1040897567366516
94,2026-05-31T22:02:00+00:00,2026-05,0,0.450402144772118,0.5810623992083297,0.5030515219251749,0.5985684405054075,0.6992689241046057,0.8700332942751897,-0.10070048359919825,-0.27146485376978224
112293,2026-07-10T23:00:00+00:00,2026-07,1,0.6907702420906207,0.6609111188868786,0.6930351828079169,0.36994801109749037,0.366674512238335,0.41413591279057127,0.0032734988591553438,-0.0441879016930809
104272,2026-07-09T23:00:00+00:00,2026-07,0,0.1910834469139581,0.1553003212476965,0.16181279673874888,0.21205951546870663,0.17651381053534781,0.16877412455856833,0.03554570493335882,0.043285390910138305
144752,2026-07-28T10:30:00+00:00,2026-07,1,0.2708928764631746,0.306397194916372,0.2687533014357865,1.306031826053829,1.3139614152034884,1.182872996130284,-0.007929589149659355,0.1231588299235451
