market_reference,alpha,n,logloss,brier,auc,accuracy,mean_prob,target_rate
open,0.0,408,0.5829955856413583,0.19940563696296468,0.758958633958634,0.696078431372549,0.5199680787856201,0.5147058823529411
open,0.01,408,0.5819438289572118,0.1990408838256761,0.7596200096200095,0.6936274509803921,0.519956255290132,0.5147058823529411
open,0.02,408,0.580934028253762,0.19868392649109212,0.7604377104377105,0.6887254901960784,0.5199444317946439,0.5147058823529411
open,0.03,408,0.5799629587177534,0.19833476495921268,0.7610630110630112,0.6887254901960784,0.5199326082991559,0.5147058823529411
open,0.04,408,0.5790279505451079,0.1979933992300378,0.762025012025012,0.6911764705882353,0.5199207848036679,0.5147058823529411
open,0.05,408,0.5781267636547338,0.19765982930356749,0.7626262626262627,0.6911764705882353,0.5199089613081798,0.5147058823529411
open,0.06,408,0.5772574967991512,0.19733405517980174,0.7636844636844636,0.6911764705882353,0.5198971378126918,0.5147058823529411
open,0.07,408,0.576418520202822,0.19701607685874056,0.7644300144300145,0.6911764705882353,0.5198853143172036,0.5147058823529411
open,0.08,408,0.5756084246944155,0.19670589434038396,0.7649350649350648,0.6911764705882353,0.5198734908217156,0.5147058823529411
open,0.09,408,0.5748259826545379,0.1964035076247319,0.7658730158730159,0.6887254901960784,0.5198616673262275,0.5147058823529411
open,0.1,408,0.5740701175909877,0.1961089167117844,0.7664742664742664,0.6887254901960784,0.5198498438307395,0.5147058823529411
open,0.11,408,0.5733398801222079,0.1958221216015415,0.7670514670514671,0.6887254901960784,0.5198380203352514,0.5147058823529411
open,0.12,408,0.5726344287940677,0.19554312229400314,0.7676527176527177,0.6911764705882353,0.5198261968397633,0.5147058823529411
open,0.13,408,0.571953014593032,0.19527191878916933,0.7677248677248677,0.6936274509803921,0.5198143733442753,0.5147058823529411
open,0.14,408,0.57129496832207,0.1950085110870401,0.7682058682058681,0.6887254901960784,0.5198025498487872,0.5147058823529411
open,0.15,408,0.5706596902193425,0.1947528991876154,0.7684704184704185,0.6887254901960784,0.5197907263532991,0.5147058823529411
open,0.16,408,0.5700466413526498,0.1945050830908953,0.7693362193362194,0.6936274509803921,0.5197789028578111,0.5147058823529411
open,0.17,408,0.569455336433651,0.19426506279687974,0.7697931697931697,0.696078431372549,0.5197670793623229,0.5147058823529411
open,0.18,408,0.5688853377775427,0.19403283830556878,0.7707311207311207,0.6985294117647058,0.5197552558668349,0.5147058823529411
open,0.19,408,0.5683362501947002,0.19380840961696238,0.7709235209235209,0.6985294117647058,0.5197434323713469,0.5147058823529411
open,0.2,408,0.5678077166465695,0.1935917767310605,0.7717412217412217,0.696078431372549,0.5197316088758588,0.5147058823529411
open,0.21,408,0.5672994145329361,0.1933829396478632,0.7721019721019721,0.6911764705882353,0.5197197853803707,0.5147058823529411
open,0.22,408,0.5668110525044586,0.19318189836737049,0.7724627224627223,0.6936274509803921,0.5197079618848827,0.5147058823529411
open,0.23,408,0.5663423677150974,0.19298865288958233,0.7730158730158729,0.6936274509803921,0.5196961383893947,0.5147058823529411
open,0.24,408,0.5658931234452863,0.1928032032144987,0.7732804232804232,0.6936274509803921,0.5196843148939065,0.5147058823529411
open,0.25,408,0.5654631070394777,0.19262554934211967,0.7734006734006735,0.6911764705882353,0.5196724913984185,0.5147058823529411
open,0.26,408,0.5650521281118335,0.19245569127244516,0.7738816738816738,0.6887254901960784,0.5196606679029303,0.5147058823529411
open,0.27,408,0.5646600169819529,0.1922936290054753,0.7745069745069745,0.6887254901960784,0.5196488444074423,0.5147058823529411
open,0.28,408,0.564286623309058,0.19213936254120995,0.7752765752765753,0.6838235294117647,0.5196370209119543,0.5147058823529411
open,0.29,408,0.5639318148983521,0.19199289187964916,0.7757575757575758,0.6862745098039216,0.5196251974164662,0.5147058823529411
open,0.3,408,0.5635954766575855,0.19185421702079294,0.7761423761423761,0.6887254901960784,0.5196133739209782,0.5147058823529411
open,0.31,408,0.5632775096853994,0.19172333796464125,0.7765993265993266,0.6887254901960784,0.51960155042549,0.5147058823529411
open,0.32,408,0.56297783047595,0.19160025471119418,0.7769360269360269,0.6887254901960784,0.5195897269300019,0.5147058823529411
open,0.33,408,0.5626963702267336,0.19148496726045164,0.777080327080327,0.6862745098039216,0.5195779034345138,0.5147058823529411
open,0.34,408,0.5624330742385671,0.19137747561241367,0.7775613275613276,0.6911764705882353,0.5195660799390258,0.5147058823529411
open,0.35,408,0.5621879013983769,0.1912777797670803,0.7781625781625782,0.6911764705882353,0.5195542564435377,0.5147058823529411
open,0.36,408,0.5619608237368905,0.19118587972445142,0.7785954785954786,0.6887254901960784,0.5195424329480497,0.5147058823529411
open,0.37,408,0.5617518260545512,0.19110177548452717,0.7788840788840788,0.6911764705882353,0.5195306094525617,0.5147058823529411
open,0.38,408,0.5615609056100249,0.19102546704730744,0.7792448292448293,0.6887254901960784,0.5195187859570736,0.5147058823529411
open,0.39,408,0.5613880718665731,0.19095695441279228,0.7794853294853294,0.6911764705882353,0.5195069624615856,0.5147058823529411
open,0.4,408,0.5612333462923571,0.19089623758098173,0.7796536796536796,0.6911764705882353,0.5194951389660974,0.5147058823529411
open,0.41,408,0.5610967622114291,0.19084331655187572,0.7802308802308803,0.6911764705882353,0.5194833154706094,0.5147058823529411
open,0.42,408,0.5609783647027807,0.19079819132547426,0.78008658008658,0.6911764705882353,0.5194714919751213,0.5147058823529411
open,0.43,408,0.5608782105453716,0.1907608619017773,0.7802068302068302,0.6887254901960784,0.5194596684796333,0.5147058823529411
open,0.44,408,0.5607963682075578,0.19073132828078504,0.7801827801827802,0.6887254901960784,0.5194478449841452,0.5147058823529411
open,0.45,408,0.5607329178798054,0.19070959046249725,0.7801587301587302,0.6887254901960784,0.5194360214886571,0.5147058823529411
open,0.46,408,0.5606879515499974,0.19069564844691403,0.7803511303511304,0.6887254901960784,0.5194241979931691,0.5147058823529411
open,0.47,408,0.5606615731210624,0.19068950223403536,0.7805194805194805,0.6936274509803921,0.519412374497681,0.5147058823529411
open,0.48,408,0.560653898571032,0.19069115182386132,0.7801827801827802,0.6936274509803921,0.5194005510021928,0.5147058823529411
open,0.49,408,0.5606650561560375,0.19070059721639182,0.7801106301106301,0.6887254901960784,0.519388727506705,0.5147058823529411
open,0.5,408,0.5606951866571288,0.19071783841162682,0.7798701298701299,0.6911764705882353,0.5193769040112167,0.5147058823529411
open,0.51,408,0.5607444436722018,0.19074287540956644,0.7799182299182299,0.6936274509803921,0.5193650805157287,0.5147058823529411
open,0.52,408,0.56081299395472,0.19077570821021061,0.7800384800384801,0.6985294117647058,0.5193532570202406,0.5147058823529411
open,0.53,408,0.5609010178013414,0.19081633681355936,0.7801587301587303,0.696078431372549,0.5193414335247526,0.5147058823529411
open,0.54,408,0.561008709491017,0.19086476121961266,0.78001443001443,0.696078431372549,0.5193296100292645,0.5147058823529411
open,0.55,408,0.5611362777786063,0.19092098142837052,0.7796296296296296,0.696078431372549,0.5193177865337764,0.5147058823529411
open,0.56,408,0.5612839464465917,0.1909849974398329,0.7802068302068302,0.6936274509803921,0.5193059630382884,0.5147058823529411
open,0.57,408,0.561451954919044,0.19105680925399995,0.7800384800384801,0.696078431372549,0.5192941395428003,0.5147058823529411
open,0.58,408,0.561640558942645,0.19113641687087152,0.7798220298220299,0.6985294117647058,0.5192823160473122,0.5147058823529411
open,0.59,408,0.5618500313402839,0.19122382029044763,0.7797258297258297,0.7034313725490197,0.5192704925518241,0.5147058823529411
open,0.6,408,0.5620806628435561,0.1913190195127283,0.7797498797498796,0.6985294117647058,0.5192586690563361,0.5147058823529411
open,0.61,408,0.5623327630114066,0.19142201453771354,0.7792207792207791,0.696078431372549,0.519246845560848,0.5147058823529411
open,0.62,408,0.5626066612432017,0.19153280536540337,0.7792448292448293,0.696078431372549,0.51923502206536,0.5147058823529411
open,0.63,408,0.5629027078957007,0.1916513919957977,0.7791245791245791,0.696078431372549,0.519223198569872,0.5147058823529411
open,0.64,408,0.5632212755147702,0.19177777442889665,0.7785233285233285,0.6936274509803921,0.5192113750743839,0.5147058823529411
open,0.65,408,0.5635627601942603,0.19191195266470015,0.7784271284271284,0.696078431372549,0.5191995515788959,0.5147058823529411
open,0.66,408,0.5639275830762932,0.19205392670320823,0.7781625781625782,0.696078431372549,0.5191877280834077,0.5147058823529411
open,0.67,408,0.564316192009347,0.19220369654442085,0.778018278018278,0.696078431372549,0.5191759045879196,0.5147058823529411
open,0.68,408,0.5647290633830095,0.19236126218833804,0.7776575276575276,0.696078431372549,0.5191640810924315,0.5147058823529411
open,0.69,408,0.5651667041612005,0.19252662363495981,0.7778499278499278,0.696078431372549,0.5191522575969435,0.5147058823529411
open,0.7,408,0.5656296541391175,0.19269978088428608,0.7776334776334777,0.696078431372549,0.5191404341014555,0.5147058823529411
open,0.71,408,0.5661184884532368,0.192880733936317,0.7774170274170273,0.696078431372549,0.5191286106059674,0.5147058823529411
open,0.72,408,0.5666338203785732,0.19306948279105243,0.7770081770081769,0.696078431372549,0.5191167871104794,0.5147058823529411
open,0.73,408,0.5671763044532009,0.19326602744849244,0.7770562770562771,0.696078431372549,0.5191049636149911,0.5147058823529411
open,0.74,408,0.5677466399770186,0.193470367908637,0.7768879268879268,0.6936274509803921,0.5190931401195031,0.5147058823529411
open,0.75,408,0.5683455749401604,0.19368250417148616,0.7767195767195769,0.6936274509803921,0.519081316624015,0.5147058823529411
open,0.76,408,0.5689739104466663,0.19390243623703987,0.7760221260221261,0.6936274509803921,0.519069493128527,0.5147058823529411
open,0.77,408,0.5696325057114839,0.1941301641052981,0.7756373256373257,0.6936274509803921,0.519057669633039,0.5147058823529411
open,0.78,408,0.5703222837241709,0.19436568777626095,0.7749639249639249,0.6911764705882353,0.5190458461375509,0.5147058823529411
open,0.79,408,0.571044237691542,0.1946090072499283,0.7745791245791247,0.6887254901960784,0.5190340226420629,0.5147058823529411
open,0.8,408,0.5717994383949774,0.19486012252630025,0.7744107744107744,0.6887254901960784,0.5190221991465748,0.5147058823529411
open,0.81,408,0.5725890426274831,0.1951190336053768,0.7739297739297739,0.6911764705882353,0.5190103756510867,0.5147058823529411
open,0.82,408,0.573414302912642,0.19538574048715784,0.7737614237614238,0.6911764705882353,0.5189985521555986,0.5147058823529411
open,0.83,408,0.5742765787546884,0.19566024317164352,0.7737133237133237,0.6887254901960784,0.5189867286601105,0.5147058823529411
open,0.84,408,0.5751773497293293,0.1959425416588337,0.7733285233285234,0.6887254901960784,0.5189749051646225,0.5147058823529411
open,0.85,408,0.5761182308030898,0.19623263594872845,0.7726551226551226,0.6887254901960784,0.5189630816691344,0.5147058823529411
